Player,Time,Points
Dan Drayton,0:00,ERROR
Rosie Reeves,0:01,ERROR
Jimmie Turman,0:02,ERROR
Vicky Erickson,0:03,ERROR
Rajab Shammas,0:04,ERROR
Francesca Lombardi,0:05,ERROR
Niew Leekpai,0:06,ERROR
Jenny Norgaard,0:07,ERROR
Rodrigo Romani,0:08,ERROR
Nicholas Rose,0:09,ERROR
Jimmie Turman,0:10,ERROR
Dan Drayton,0:11,ERROR
Jenny Norgaard,0:12,ERROR
Rajab Shammas,0:13,ERROR
Jimmie Turman,0:14,ERROR
Dan Drayton,0:15,ERROR
Rosie Reeves,0:16,ERROR
Jimmie Turman,0:17,ERROR
Vicky Erickson,0:18,ERROR
Rajab Shammas,0:19,ERROR
Francesca Lombardi,0:20,ERROR
Niew Leekpai,0:21,ERROR
Jenny Norgaard,0:22,ERROR
Rodrigo Romani,0:23,ERROR
Nicholas Rose,0:24,ERROR
Jimmie Turman,0:25,ERROR
Dan Drayton,0:26,ERROR
Jenny Norgaard,0:27,ERROR
Rajab Shammas,0:28,ERROR
Jimmie Turman,0:29,ERROR
Dan Drayton,0:30,ERROR
Rosie Reeves,0:31,ERROR
Jimmie Turman,0:32,ERROR
Vicky Erickson,0:33,ERROR
Rajab Shammas,0:34,ERROR
Francesca Lombardi,0:35,ERROR
Niew Leekpai,0:36,ERROR
Jenny Norgaard,0:37,ERROR
Rodrigo Romani,0:38,ERROR
Nicholas Rose,0:39,ERROR
Jimmie Turman,0:40,ERROR
Dan Drayton,0:41,ERROR
Jenny Norgaard,0:42,ERROR
Rajab Shammas,0:43,ERROR
Jimmie Turman,0:44,ERROR
Dan Drayton,0:45,ERROR
Rosie Reeves,0:46,ERROR
Jimmie Turman,0:47,ERROR
Vicky Erickson,0:48,ERROR
Rajab Shammas,0:49,ERROR
Francesca Lombardi,0:50,ERROR
Niew Leekpai,0:51,ERROR
Jenny Norgaard,0:52,ERROR
Rodrigo Romani,0:53,ERROR
Nicholas Rose,0:54,ERROR
Jimmie Turman,0:55,ERROR
Dan Drayton,0:56,ERROR
Jenny Norgaard,0:57,ERROR
Rajab Shammas,0:58,ERROR
Jimmie Turman,0:59,ERROR
